"" , "$Gender missing" , 6177535
"$local" , "(lcdgt) Females other" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/names/n84091978" , "Females+II Università degli studi di Roma" , 1
"$local" , "eng+swe" , 1
"$local" , "(lc sh) Males" , 4
"http://id.loc.gov/authorities/demographicTerms/dg2015060359+http://id.loc.gov/authorities/subjects/sh85029386+http://id.loc.gov/authorities/subjects/sh85089027" , "Men+Composers+Musicians" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "Males $2 lcdgt+Females" , 1
"$local" , "Flute player+Recorder player" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002395" , "Males+Females+Transgender people+Transgender men" , 1
"$local" , "Bible -- Study and teaching+male" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85038488" , "Males+Dissenters" , 1
"$local" , "eng+spa" , 3
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Transgender woman+Males" , 1
"http://id.loc.gov/authorities/subjects/sh85000755" , "Actresses" , 1
"$local" , "dut" , 2
"$local" , "eng+pol" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh2002011161" , "Males+Female-to-male transsexuals" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85000744" , "Males+Actors" , 2
"$local" , "Femenino" , 1
"$local" , "(lcdgt) Maled" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060006+http://id.loc.gov/authorities/subjects/sh2018002623" , "Males+Females+Transgender people+Transgender women" , 2
"$local" , "Sound designer" , 1
"$local" , "Males." , 11
"$local" , "Males $2 lcsh" , 1
"$local" , "hun" , 1
"$local" , "Transpinay" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85000744" , "Females+Actors" , 1
"$local" , "feamle" , 3
"$local+http://id.loc.gov/authorities/subjects/sh85026013+http://id.loc.gov/authorities/subjects/sh85088067+http://id.loc.gov/authorities/subjects/sh85118942" , "female+Cinematographers+Motion picture producers and directors+Screenwriters" , 1
"$local" , "(lcgft) Men" , 5
"$local" , "Females$2lcdgt" , 1
"$local" , "Regis University+University of Wyoming+male" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "(lcdgt) men+Males" , 1
"$local" , "male+hrv" , 2
"$local" , "Environmental scientist" , 1
"$local" , "baq+spa" , 1
"$local" , "(lcdgt) Fenales" , 4
"http://id.loc.gov/authorities/subjects/sh85061091" , "Historians" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh00006383+http://id.loc.gov/authorities/subjects/sh85118236" , "Males+Lawyers+Scholars" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "Control room alarm systems+Males" , 1
"$local" , "(lcshj) Males" , 2
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "ben+Males" , 5
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060004" , "fre+Females" , 1
"$local" , "(lcdgt) Mles" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060358+http://id.loc.gov/authorities/subjects/sh85101720" , "Women+Pianists" , 1
"$local" , "male+tha" , 1
"$local+http://id.loc.gov/authorities/demographicTerms/dg2015060003" , "Male+Males" , 2
"$local+http://id.loc.gov/authorities/subjects/sh85008286" , "female+Artists, Black" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060005" , "Transsexuals" , 5
"$local" , "mae" , 5
"http://id.loc.gov/authorities/subjects/sh85018328" , "Businessmen" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85080137" , "eng+Males" , 3
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/demographicTerms/dg2015060154" , "Females+Holocaust survivors" , 1
"$local" , "Males 2lcsh" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85009793+http://id.loc.gov/authorities/subjects/sh85118942" , "Males+Authors+Screenwriters" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85047734" , "fre+Females" , 2
"http://id.loc.gov/authorities/demographicTerms/dg2015060003+http://id.loc.gov/authorities/subjects/sh85080137" , "Males" , 6
"$local" , "(naf) females" , 1
"$local" , "(lcsh) Malers" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85028378+http://id.loc.gov/authorities/subjects/sh85036081" , "male+College teachers+Deans (Education)" , 1
"$local" , "not kown" , 1
"$local" , "gender nonconforming" , 2
"$local" , "(lcdgt) Femeles" , 1
"$local" , "mar" , 1
"$local" , "(aat) Researchers" , 1
"$local+http://id.loc.gov/authorities/subjects/sh85006565+http://id.loc.gov/authorities/subjects/sh85028378" , "male+Architects+College teachers" , 1
"$local" , "(ldgt) Males" , 6
"http://id.loc.gov/authorities/subjects/sh85026013" , "Cinematographers" , 2
"$local" , "(lcdgt) Maes" , 3
"$local" , "ara+eng" , 1
"http://id.loc.gov/authorities/subjects/sh85061798" , "Gay men" , 1
"$local" , "(ledgt) Males" , 1
"$local" , "nor+eng" , 1
"$local" , "(lcsh) Females," , 1
"$local" , "(lcs) female" , 1
"http://id.loc.gov/authorities/demographicTerms/dg2015060004+http://id.loc.gov/authorities/subjects/sh85047734" , "Females" , 2
"$local" , "female  lecturer in childhood studies and sociology at the University of Essex." , 1
"$local" , "femalẽ" , 1
"$local" , "malay" , 1
